wateryear,Species,Survey,Abundance
1999,Chinook Salmon - winter-run,JPE,
2000,Chinook Salmon - winter-run,JPE,
2001,Chinook Salmon - winter-run,JPE,
2002,Chinook Salmon - winter-run,JPE,
2003,Chinook Salmon - winter-run,JPE,
2004,Chinook Salmon - winter-run,JPE,
2005,Chinook Salmon - winter-run,JPE,
2006,Chinook Salmon - winter-run,JPE,
2007,Chinook Salmon - winter-run,JPE,
2008,Chinook Salmon - winter-run,JPE,
2009,Chinook Salmon - winter-run,JPE,617783
2010,Chinook Salmon - winter-run,JPE,1179633
2011,Chinook Salmon - winter-run,JPE,332012
2012,Chinook Salmon - winter-run,JPE,162051
2013,Chinook Salmon - winter-run,JPE,532809
2014,Chinook Salmon - winter-run,JPE,1196387
2015,Chinook Salmon - winter-run,JPE,124521
2016,Chinook Salmon - winter-run,JPE,101716
2017,Chinook Salmon - winter-run,JPE,166189
2018,Chinook Salmon - winter-run,JPE,201409
2019,Chinook Salmon - winter-run,JPE,433176
2020,Chinook Salmon - winter-run,JPE,854941
2021,Chinook Salmon - winter-run,JPE,330130
2022,Chinook Salmon - winter-run,JPE,125038
