"Date","SJR","SAC","YOLO","EXPORT"
1920-11-30,2607,NA,NA,999
1920-12-31,3368,NA,NA,999
1921-01-31,5103,NA,NA,999
1921-02-28,6793,NA,NA,999
1921-03-31,7290,NA,NA,999
1921-04-30,7511,NA,NA,999
1921-05-31,5980,NA,NA,999
1921-06-30,4099,NA,NA,999
1921-07-31,2616,NA,NA,999
1921-08-31,1829,NA,NA,999
1921-09-30,2213,NA,NA,999
1921-10-31,1877.5970606617,NA,NA,9295.40771528093
1921-11-30,1837.38965954701,9814.07774212243,5.04166586564867,6342.10988256626
1921-12-31,2590.72025543658,18128.6367050141,462.104399461678,11753.5725198109
1922-01-31,2472.93834076903,18503.6645296687,410.919962414184,12104.3127802563
1922-02-28,10543.9561633518,42802.0799179697,5074.78463396457,14063.6
1922-03-31,9967.58673186763,34999.6238132232,891.692730730144,10182.5736594187
1922-04-30,9303.66768776161,35104.009302562,1357.96078345174,8094.5714184168
1922-05-31,9065.05357340882,41528.6380713493,68.5010062991746,10339.1731703077
1922-06-30,9458.73390624192,20055.9439712283,67.8024655579699,11121.2251391379
1922-07-31,3536.83498000371,20269.3264048476,48.1542868765232,11387.5500861999
1922-08-31,3130.46562477426,13326.4877312503,54.8862124707162,9543.49121008326
1922-09-30,3608.76243874812,13739.7463006502,59.2749379206279,11407.3711120842
1922-10-31,2214.6574486717,14709.9628725063,14.5614320060483,11153.6471709948
1922-11-30,2449.21220409781,13021.4713737401,155.446756030084,10295.3348533121
1922-12-31,7094.63794725179,33216.1625629337,3653.82165602055,12576.8693021858
1923-01-31,9704.17034379159,29471.9768402093,1400.75969627266,13002.8589455605
1923-02-28,6830.60039070414,19092.5860294021,162.567670398708,9883.37198140786
1923-03-31,4559.57109309967,12759.671754622,80.4346461241768,5393.84696410982
1923-04-30,8836.01428747931,26301.0722092471,250.476926731095,8475.53235737146
1923-05-31,5288.09893804905,12505.2726757573,71.3424829593002,6764.90600908803
1923-06-30,2860.94827673055,17276.6303113618,67.598679443875,7287.94153496259
1923-07-31,2102.09645725743,20177.1520773174,48.1542868765232,11302.3069650842
1923-08-31,1586.54230275692,17731.0484752104,54.5876506282567,11469.9292681753
1923-09-30,2673.63201669027,11728.7961491173,50.766026514325,9433.77940769149
1923-10-31,2350.84554790639,10928.7783639311,54.0401732156768,8244.35529944148
1923-11-30,2129.67831933804,9627.49749498203,4.8081573709077,6694.17143975656
1923-12-31,1874.56228950428,10052.9986640278,0,6735.04550855606
1924-01-31,1769.97759656893,11145.3579637167,15.2792654414602,6385.81944481557
1924-02-29,1957.64949934019,16974.1784237961,273.997370754063,8832.99147386933
1924-03-31,1487.71484427141,12441.0819293405,35.9199443830305,2027.17095199549
1924-04-30,1384.38654174388,8460.40537717256,138.955104681821,1449.30685469645
1924-05-31,1399.93200385384,7457.5392348026,77.8646375954139,1907.77751477288
1924-06-30,1138.36683022973,9072.74457265521,67.8024655579699,1963.61246903756
1924-07-31,1028.20870476686,9711.7809883293,48.1542868765232,2718.07597650863
